case_id,race_ethnicity,sex,age_band,primary_language,county_type,program,outcome_status,decision_date
2328,White,Female,Under 18,Spanish,Rural,Benefits Eligibility,Denied,2026-03-15
2329,Black,Female,18 to 64,Other than English,Rural,Benefits Eligibility,Denied,2026-03-15
2330,Hispanic,Female,18 to 64,English,Urban,Benefits Eligibility,Denied,2026-03-15
2331,White,Male,18 to 64,English,Rural,Benefits Eligibility,Denied,2026-03-15
2332,White,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2333,Black,Male,65 and over,English,Rural,Benefits Eligibility,Approved,2026-03-15
2334,White,Male,18 to 64,Spanish,Urban,Benefits Eligibility,Denied,2026-03-15
2335,Black,Male,18 to 64,Spanish,Urban,Benefits Eligibility,Denied,2026-03-15
2336,White,Male,65 and over,English,Rural,Benefits Eligibility,Approved,2026-03-15
2337,White,Male,18 to 64,Spanish,Urban,Benefits Eligibility,Denied,2026-03-15
2338,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2339,White,Male,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2340,White,Male,18 to 64,English,Urban,Benefits Eligibility,Denied,2026-03-15
2341,White,Female,18 to 64,English,Urban,Benefits Eligibility,Withdrawn,2026-03-15
2342,White,Male,18 to 64,English,Rural,Benefits Eligibility,Denied,2026-03-15
2343,Black,Female,18 to 64,English,Urban,Benefits Eligibility,Denied,2026-03-15
2344,White,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2345,Hispanic,Male,18 to 64,English,Urban,Benefits Eligibility,Denied,2026-03-15
2346,White,Male,Under 18,English,Urban,Benefits Eligibility,Approved,2026-03-15
2347,Black,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2348,White,Female,18 to 64,Other than English,Urban,Benefits Eligibility,Denied,2026-03-15
2349,Black,Male,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2350,White,Female,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2351,White,Male,65 and over,English,Rural,Benefits Eligibility,Denied,2026-03-15
2352,Black,Male,65 and over,English,Urban,Benefits Eligibility,Approved with conditions,2026-03-15
2353,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved with conditions,2026-03-15
2354,White,Male,Under 18,English,Urban,Benefits Eligibility,Approved,2026-03-15
2355,Hispanic,Male,18 to 64,English,Urban,Benefits Eligibility,Denied,2026-03-15
2356,Asian,Male,Under 18,Spanish,Urban,Benefits Eligibility,Denied,2026-03-15
2357,White,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2358,White,Male,18 to 64,Spanish,Urban,Benefits Eligibility,Denied,2026-03-15
2359,White,Male,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2360,White,Male,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2361,Hispanic,Female,18 to 64,Other than English,Urban,Benefits Eligibility,Approved,2026-03-15
2362,Asian,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2363,Hispanic,Male,Under 18,English,Rural,Benefits Eligibility,Denied,2026-03-15
2364,Black,Female,Under 18,English,Urban,Benefits Eligibility,Approved,2026-03-15
2365,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2366,White,Female,Under 18,English,Urban,Benefits Eligibility,Approved,2026-03-15
2367,White,Female,Under 18,Spanish,Rural,Benefits Eligibility,Denied,2026-03-15
2368,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2369,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2370,White,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2371,Asian,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2372,Hispanic,Male,65 and over,English,Urban,Benefits Eligibility,Denied,2026-03-15
2373,White,Female,65 and over,Other than English,Urban,Benefits Eligibility,Denied,2026-03-15
2374,White,Male,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2375,White,Male,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2376,Two or more races,Female,18 to 64,English,Urban,Benefits Eligibility,Approved with conditions,2026-03-15
2377,Hispanic,Male,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2378,Black,Male,65 and over,English,Rural,Benefits Eligibility,Approved,2026-03-15
2379,White,Female,65 and over,English,Urban,Benefits Eligibility,Withdrawn,2026-03-15
2380,White,Male,18 to 64,English,Urban,Benefits Eligibility,Approved with conditions,2026-03-15
2381,Black,Female,18 to 64,English,Rural,Benefits Eligibility,Denied,2026-03-15
2382,White,Male,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2383,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2384,Hispanic,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2385,White,Male,Under 18,Spanish,Urban,Benefits Eligibility,Approved,2026-03-15
2386,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2387,White,Female,65 and over,English,Rural,Benefits Eligibility,Approved,2026-03-15
2388,Black,Female,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2389,White,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2390,White,Female,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2391,Black,Female,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2392,Hispanic,Female,18 to 64,English,Urban,Benefits Eligibility,Denied,2026-03-15
2393,White,Male,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2394,Hispanic,Male,65 and over,English,Urban,Benefits Eligibility,Denied,2026-03-15
2395,White,Female,Under 18,English,Urban,Benefits Eligibility,Approved,2026-03-15
2396,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2397,Black,Male,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2398,White,Female,Under 18,English,Urban,Benefits Eligibility,Approved,2026-03-15
2399,Hispanic,Male,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2400,Hispanic,Female,Under 18,English,Rural,Benefits Eligibility,Approved,2026-03-15
2401,White,Female,18 to 64,English,Rural,Benefits Eligibility,Withdrawn,2026-03-15
2402,White,Female,Under 18,English,Rural,Benefits Eligibility,Approved,2026-03-15
2403,Hispanic,Female,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2404,Hispanic,Male,18 to 64,Other than English,Urban,Benefits Eligibility,Approved,2026-03-15
2405,Hispanic,Female,65 and over,English,Urban,Benefits Eligibility,Denied,2026-03-15
2406,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2407,White,Female,Under 18,English,Urban,Benefits Eligibility,Approved,2026-03-15
2408,White,Male,18 to 64,English,Rural,Benefits Eligibility,Denied,2026-03-15
2409,Black,Female,65 and over,English,Rural,Benefits Eligibility,Denied,2026-03-15
2410,Hispanic,Female,65 and over,English,Rural,Benefits Eligibility,Denied,2026-03-15
2411,Hispanic,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2412,White,Male,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2413,Asian,Female,65 and over,English,Urban,Benefits Eligibility,Withdrawn,2026-03-15
2414,Black,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2415,White,Female,18 to 64,English,Urban,Benefits Eligibility,Withdrawn,2026-03-15
2416,White,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2417,White,Female,65 and over,English,Urban,Benefits Eligibility,Denied,2026-03-15
2418,White,Female,65 and over,English,Rural,Benefits Eligibility,Approved,2026-03-15
2419,Black,Female,65 and over,English,Rural,Benefits Eligibility,Approved,2026-03-15
2420,White,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2421,White,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2422,White,Male,Under 18,English,Rural,Benefits Eligibility,Denied,2026-03-15
2423,White,Female,Under 18,English,Rural,Benefits Eligibility,Approved,2026-03-15
2424,White,Male,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2425,American Indian or Alaska Native,Female,18 to 64,English,Rural,Benefits Eligibility,Approved with conditions,2026-03-15
2426,Black,Male,18 to 64,English,Rural,Benefits Eligibility,Denied,2026-03-15
2427,White,Female,65 and over,English,Urban,Benefits Eligibility,Denied,2026-03-15
2428,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2429,White,Male,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2430,White,Female,18 to 64,English,Urban,Benefits Eligibility,Denied,2026-03-15
2431,Two or more races,Female,Under 18,English,Rural,Benefits Eligibility,Approved,2026-03-15
2432,Two or more races,Male,65 and over,English,Rural,Benefits Eligibility,Approved,2026-03-15
2433,White,Male,65 and over,Other than English,Rural,Benefits Eligibility,Approved,2026-03-15
2434,White,Female,Under 18,English,Rural,Benefits Eligibility,Approved,2026-03-15
2435,Black,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2436,White,Female,18 to 64,English,Urban,Benefits Eligibility,Withdrawn,2026-03-15
2437,White,Female,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2438,Black,Male,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2439,White,Male,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2440,Black,Male,18 to 64,Other than English,Urban,Benefits Eligibility,Denied,2026-03-15
2441,Black,Female,18 to 64,English,Urban,Benefits Eligibility,Denied,2026-03-15
2442,Hispanic,Female,65 and over,English,Urban,Benefits Eligibility,Denied,2026-03-15
2443,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2444,White,Female,Under 18,English,Rural,Benefits Eligibility,Approved,2026-03-15
2445,White,Female,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2446,White,Male,65 and over,English,Rural,Benefits Eligibility,Withdrawn,2026-03-15
2447,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2448,White,Female,65 and over,English,Rural,Benefits Eligibility,Denied,2026-03-15
2449,Two or more races,Female,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2450,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2451,White,Male,18 to 64,English,Urban,Benefits Eligibility,Denied,2026-03-15
2452,Hispanic,Female,Under 18,English,Urban,Benefits Eligibility,Approved,2026-03-15
2453,Hispanic,Male,65 and over,English,Rural,Benefits Eligibility,Denied,2026-03-15
2454,Black,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2455,American Indian or Alaska Native,Male,Under 18,Spanish,Rural,Benefits Eligibility,Denied,2026-03-15
2456,Black,Female,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2457,Hispanic,Female,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2458,White,Female,65 and over,English,Rural,Benefits Eligibility,Approved,2026-03-15
2459,White,Female,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2460,White,Female,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2461,White,Female,Under 18,English,Rural,Benefits Eligibility,Denied,2026-03-15
2462,Black,Female,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2463,White,Female,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2464,White,Female,18 to 64,English,Urban,Benefits Eligibility,Withdrawn,2026-03-15
2465,White,Female,65 and over,Other than English,Urban,Benefits Eligibility,Denied,2026-03-15
2466,White,Male,18 to 64,English,Urban,Benefits Eligibility,Withdrawn,2026-03-15
2467,White,Female,65 and over,English,Urban,Benefits Eligibility,Denied,2026-03-15
2468,Hispanic,Female,Under 18,English,Urban,Benefits Eligibility,Approved with conditions,2026-03-15
2469,Hispanic,Female,Under 18,English,Urban,Benefits Eligibility,Approved,2026-03-15
2470,White,Female,65 and over,English,Rural,Benefits Eligibility,Approved,2026-03-15
2471,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2472,White,Male,18 to 64,English,Rural,Benefits Eligibility,Denied,2026-03-15
2473,American Indian or Alaska Native,Male,18 to 64,English,Urban,Benefits Eligibility,Denied,2026-03-15
2474,White,Female,18 to 64,English,Urban,Benefits Eligibility,Denied,2026-03-15
2475,Hispanic,Female,65 and over,English,Rural,Benefits Eligibility,Denied,2026-03-15
2476,Two or more races,Female,18 to 64,English,Rural,Benefits Eligibility,Denied,2026-03-15
2477,White,Male,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2478,Hispanic,Male,18 to 64,English,Rural,Benefits Eligibility,Denied,2026-03-15
2479,Asian,Female,18 to 64,Spanish,Urban,Benefits Eligibility,Approved,2026-03-15
2480,White,Male,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2481,White,Female,18 to 64,English,Urban,Benefits Eligibility,Denied,2026-03-15
2482,White,Female,18 to 64,Spanish,Rural,Benefits Eligibility,Approved,2026-03-15
2483,White,Male,65 and over,English,Rural,Benefits Eligibility,Denied,2026-03-15
2484,Two or more races,Female,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2485,White,Female,65 and over,English,Rural,Benefits Eligibility,Approved,2026-03-15
2486,White,Male,18 to 64,Spanish,Rural,Benefits Eligibility,Approved,2026-03-15
2487,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2488,Asian,Male,18 to 64,Other than English,Rural,Benefits Eligibility,Approved,2026-03-15
2489,White,Male,65 and over,English,Urban,Benefits Eligibility,Denied,2026-03-15
2490,White,Male,18 to 64,Other than English,Urban,Benefits Eligibility,Denied,2026-03-15
2491,White,Male,18 to 64,Spanish,Urban,Benefits Eligibility,Approved,2026-03-15
2492,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2493,Black,Male,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2494,White,Female,65 and over,English,Rural,Benefits Eligibility,Approved,2026-03-15
2495,White,Male,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2496,White,Female,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2497,White,Male,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2498,Hispanic,Female,Under 18,English,Urban,Benefits Eligibility,Denied,2026-03-15
2499,Black,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2500,White,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2501,Black,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2502,White,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2503,White,Male,18 to 64,Spanish,Urban,Benefits Eligibility,Approved,2026-03-15
2504,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved with conditions,2026-03-15
2505,Black,Female,18 to 64,English,Rural,Benefits Eligibility,Approved with conditions,2026-03-15
2506,White,Male,65 and over,English,Urban,Benefits Eligibility,Denied,2026-03-15
2507,White,Male,18 to 64,English,Rural,Benefits Eligibility,Approved with conditions,2026-03-15
2508,White,Male,65 and over,English,Rural,Benefits Eligibility,Approved,2026-03-15
2509,Black,Female,65 and over,Other than English,Rural,Benefits Eligibility,Approved,2026-03-15
2510,White,Male,18 to 64,Other than English,Rural,Benefits Eligibility,Denied,2026-03-15
2511,White,Male,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2512,White,Female,18 to 64,Spanish,Rural,Benefits Eligibility,Withdrawn,2026-03-15
2513,White,Female,18 to 64,English,Rural,Benefits Eligibility,Withdrawn,2026-03-15
2514,Asian,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2515,White,Female,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2516,White,Female,18 to 64,English,Urban,Benefits Eligibility,Denied,2026-03-15
2517,White,Female,18 to 64,Spanish,Rural,Benefits Eligibility,Approved,2026-03-15
2518,Hispanic,Female,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2519,Hispanic,Female,65 and over,English,Rural,Benefits Eligibility,Approved,2026-03-15
2520,White,Male,18 to 64,English,Rural,Benefits Eligibility,Approved with conditions,2026-03-15
2521,Black,Male,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2522,White,Female,65 and over,Spanish,Urban,Benefits Eligibility,Approved,2026-03-15
2523,Hispanic,Male,18 to 64,English,Rural,Benefits Eligibility,Denied,2026-03-15
2524,White,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2525,White,Male,18 to 64,Spanish,Rural,Benefits Eligibility,Approved,2026-03-15
2526,White,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2527,White,Male,65 and over,English,Rural,Benefits Eligibility,Approved with conditions,2026-03-15
2528,White,Female,Under 18,English,Rural,Benefits Eligibility,Approved,2026-03-15
2529,Asian,Male,18 to 64,English,Urban,Benefits Eligibility,Withdrawn,2026-03-15
2530,White,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2531,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2532,White,Male,65 and over,English,Rural,Benefits Eligibility,Approved,2026-03-15
2533,White,Female,Under 18,Other than English,Rural,Benefits Eligibility,Denied,2026-03-15
2534,White,Male,65 and over,English,Urban,Benefits Eligibility,Approved with conditions,2026-03-15
2535,Asian,Male,65 and over,English,Rural,Benefits Eligibility,Approved with conditions,2026-03-15
2536,Black,Male,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2537,White,Male,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2538,White,Male,65 and over,English,Urban,Benefits Eligibility,Denied,2026-03-15
2539,Hispanic,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2540,Hispanic,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2541,White,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2542,White,Male,18 to 64,Spanish,Rural,Benefits Eligibility,Denied,2026-03-15
2543,White,Male,18 to 64,Spanish,Urban,Benefits Eligibility,Approved,2026-03-15
2544,White,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2545,Asian,Female,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2546,Black,Female,18 to 64,English,Urban,Benefits Eligibility,Denied,2026-03-15
2547,White,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2548,Black,Female,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2549,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2550,Black,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2551,White,Female,65 and over,English,Urban,Benefits Eligibility,Approved with conditions,2026-03-15
2552,White,Female,65 and over,Other than English,Urban,Benefits Eligibility,Denied,2026-03-15
2553,White,Female,65 and over,Spanish,Urban,Benefits Eligibility,Approved,2026-03-15
2554,Black,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2555,Black,Female,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2556,American Indian or Alaska Native,Male,18 to 64,English,Rural,Benefits Eligibility,Approved with conditions,2026-03-15
2557,White,Male,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2558,White,Male,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2559,Hispanic,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2560,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2561,White,Female,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2562,White,Male,65 and over,English,Rural,Benefits Eligibility,Approved,2026-03-15
2563,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2564,American Indian or Alaska Native,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2565,White,Male,18 to 64,English,Urban,Benefits Eligibility,Approved with conditions,2026-03-15
2566,White,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2567,Black,Male,Under 18,English,Urban,Benefits Eligibility,Approved,2026-03-15
2568,Two or more races,Female,18 to 64,English,Rural,Benefits Eligibility,Approved with conditions,2026-03-15
2569,Hispanic,Female,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2570,White,Male,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2571,White,Female,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2572,Asian,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2573,Black,Male,65 and over,English,Urban,Benefits Eligibility,Denied,2026-03-15
2574,Black,Female,18 to 64,English,Urban,Benefits Eligibility,Withdrawn,2026-03-15
2575,White,Female,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2576,American Indian or Alaska Native,Female,18 to 64,English,Rural,Benefits Eligibility,Denied,2026-03-15
2577,Hispanic,Female,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2578,White,Male,18 to 64,English,Urban,Benefits Eligibility,Withdrawn,2026-03-15
2579,White,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2580,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2581,White,Female,18 to 64,English,Rural,Benefits Eligibility,Denied,2026-03-15
2582,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2583,White,Male,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2584,White,Male,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2585,White,Female,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2586,White,Female,65 and over,English,Urban,Benefits Eligibility,Withdrawn,2026-03-15
2587,Black,Female,18 to 64,Spanish,Rural,Benefits Eligibility,Denied,2026-03-15
2588,Hispanic,Female,18 to 64,Other than English,Urban,Benefits Eligibility,Denied,2026-03-15
2589,White,Female,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2590,Asian,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2591,White,Male,18 to 64,English,Rural,Benefits Eligibility,Denied,2026-03-15
2592,Hispanic,Female,65 and over,Other than English,Urban,Benefits Eligibility,Approved,2026-03-15
2593,White,Male,18 to 64,English,Rural,Benefits Eligibility,Denied,2026-03-15
2594,Black,Male,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2595,White,Male,65 and over,English,Rural,Benefits Eligibility,Approved,2026-03-15
2596,Black,Female,Under 18,English,Urban,Benefits Eligibility,Approved,2026-03-15
2597,Black,Female,18 to 64,English,Urban,Benefits Eligibility,Denied,2026-03-15
2598,Hispanic,Female,Under 18,English,Rural,Benefits Eligibility,Approved,2026-03-15
2599,Black,Female,18 to 64,English,Rural,Benefits Eligibility,Denied,2026-03-15
2600,White,Male,Under 18,English,Urban,Benefits Eligibility,Denied,2026-03-15
2601,Black,Male,18 to 64,English,Urban,Benefits Eligibility,Denied,2026-03-15
2602,Hispanic,Female,18 to 64,Spanish,Urban,Benefits Eligibility,Denied,2026-03-15
2603,Two or more races,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2604,Hispanic,Male,65 and over,Spanish,Rural,Benefits Eligibility,Denied,2026-03-15
2605,Black,Male,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2606,White,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2607,White,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2608,Black,Female,18 to 64,English,Urban,Benefits Eligibility,Denied,2026-03-15
2609,White,Male,18 to 64,English,Urban,Benefits Eligibility,Approved with conditions,2026-03-15
2610,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2611,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2612,White,Male,18 to 64,Other than English,Rural,Benefits Eligibility,Denied,2026-03-15
2613,White,Male,18 to 64,Spanish,Rural,Benefits Eligibility,Withdrawn,2026-03-15
2614,Two or more races,Male,18 to 64,Spanish,Rural,Benefits Eligibility,Approved,2026-03-15
2615,White,Female,65 and over,English,Urban,Benefits Eligibility,Withdrawn,2026-03-15
2616,White,Female,65 and over,English,Urban,Benefits Eligibility,Denied,2026-03-15
2617,White,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2618,Hispanic,Male,18 to 64,English,Urban,Benefits Eligibility,Denied,2026-03-15
2619,Two or more races,Male,18 to 64,Spanish,Rural,Benefits Eligibility,Approved,2026-03-15
2620,White,Female,Under 18,English,Rural,Benefits Eligibility,Approved,2026-03-15
2621,White,Female,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2622,White,Male,18 to 64,English,Rural,Benefits Eligibility,Withdrawn,2026-03-15
2623,White,Male,Under 18,Spanish,Urban,Benefits Eligibility,Denied,2026-03-15
2624,White,Female,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2625,White,Female,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2626,Two or more races,Female,18 to 64,Spanish,Rural,Benefits Eligibility,Denied,2026-03-15
2627,White,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2628,White,Female,65 and over,English,Rural,Benefits Eligibility,Denied,2026-03-15
2629,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2630,Hispanic,Female,18 to 64,English,Rural,Benefits Eligibility,Denied,2026-03-15
2631,Asian,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2632,White,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2633,White,Male,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2634,White,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2635,White,Female,18 to 64,English,Urban,Benefits Eligibility,Denied,2026-03-15
2636,White,Male,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2637,White,Female,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2638,White,Female,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2639,White,Female,18 to 64,English,Rural,Benefits Eligibility,Denied,2026-03-15
2640,White,Male,65 and over,English,Rural,Benefits Eligibility,Approved,2026-03-15
